           YEAR,           JDAY,        QOMEAS1,         QOSIM1,        QOMEAS2,         QOSIM2,
           1980,            166,   100.0000    ,   31.49553    ,   22.20000    ,   1.194091    ,
           1980,            167,   95.20000    ,   36.01972    ,   20.50000    ,   1.027263    ,
           1980,            168,   102.0000    ,   39.67685    ,   20.30000    ,  0.9980589    ,
           1980,            169,   97.40000    ,   38.03239    ,   19.20000    ,   1.032058    ,
           1980,            170,   93.90000    ,   39.87658    ,   18.70000    ,  0.9886166    ,
           1980,            171,   96.20000    ,   41.23488    ,   19.10000    ,   1.339368    ,
           1980,            172,   103.0000    ,   39.79718    ,   20.20000    ,   1.147891    ,
           1980,            173,   102.0000    ,   42.55332    ,   20.00000    ,   1.053292    ,
           1980,            174,   103.0000    ,   34.59095    ,   20.40000    ,   1.009269    ,
           1980,            175,   117.0000    ,   23.80718    ,   22.50000    ,  0.9775171    ,
           1980,            176,   111.0000    ,   26.35541    ,   21.80000    ,  0.9724901    ,
           1980,            177,   108.0000    ,   26.71024    ,   21.90000    ,  0.9749033    ,
           1980,            178,   104.0000    ,   30.69707    ,   20.80000    ,  0.9922969    ,
           1980,            179,   103.0000    ,   22.73539    ,   20.90000    ,   1.521675    ,
           1980,            180,   112.0000    ,   27.19073    ,   22.70000    ,   1.152183    ,
           1980,            181,   120.0000    ,   32.93366    ,   25.30000    ,   1.029029    ,
           1980,            182,   131.0000    ,   23.41790    ,   28.50000    ,   1.009413    ,
           1980,            183,   147.0000    ,   34.93889    ,   31.90000    ,   1.027102    ,
           1980,            184,   151.0000    ,   42.75162    ,   33.80000    ,   1.046970    ,
           1980,            185,   153.0000    ,   40.28657    ,   34.80000    ,   1.054067    ,
           1980,            186,   139.0000    ,   35.32751    ,   31.70000    ,   1.059226    ,
           1980,            187,   128.0000    ,   32.39570    ,   29.90000    ,   1.057778    ,
           1980,            188,   121.0000    ,   30.92789    ,   28.10000    ,   1.072653    ,
           1980,            189,   113.0000    ,   40.46775    ,   25.10000    ,   1.103226    ,
