,S_1_COMID,S_1_unitarea,ID_t,lat_t,lon_t,order_t,AS1,IDS1,ID_s,lat_s,lon_s,AS2,IDS2,AINT,AP1,AP2,weight,AP2N
224,71028700,12.53572247848998,71028700,51.231533936002265,-115.83923518438783,47,12535728.618561711,47,4824.0,51.1961,-115.9049,100208757.40873125,4824,3899693.8177483496,0.3110863306321146,0.03891569877313504,0.3110863306321145,0.03891569877313565
225,71028700,12.53572247848998,71028700,51.231533936002265,-115.83923518438783,47,12535728.618561711,47,4825.0,51.2265,-115.7701,100214991.20601718,4825,8636034.800813366,0.6889136693678858,0.0861750791661481,0.6889136693678855,0.08617507916614951
220,71028740,62.58661212739475,71028740,51.26779744981474,-115.89569548548282,46,62586609.349672124,46,4824.0,51.1961,-115.9049,100208757.40873125,4824,17347463.59442957,0.27717532192084554,0.1731132492110722,0.2771753219208452,0.17311324921107493
217,71028740,62.58661212739475,71028740,51.26779744981474,-115.89569548548282,46,62586609.349672124,46,4980.0,51.3112,-115.8188,100230093.82956983,4980,11527999.39073806,0.1841927452297502,0.11501535068240229,0.18419274522975002,0.13082526687357438
216,71028740,62.58661212739475,71028740,51.26779744981474,-115.89569548548282,46,62586609.349672124,46,4979.0,51.2807,-115.9538,100222852.81219693,4979,31977035.286551744,0.5109245510951979,0.3190593201978801,0.5109245510951973,0.3190593201978884
218,71028740,62.58661212739475,71028740,51.26779744981474,-115.89569548548282,46,62586609.349672124,46,5134.0,51.3653,-116.0029,100233806.51057553,5134,552347.8673129173,0.008825336170984167,0.005510594544313148,0.008825336170984157,0.00551059454431324
221,71028740,62.58661212739475,71028740,51.26779744981474,-115.89569548548282,46,62586609.349672124,46,4825.0,51.2265,-115.7701,100214991.20601718,4825,1181763.2106399068,0.01888204558322343,0.011792279741964899,0.01888204558322341,0.011792279741965093
213,71028852,113.253720010744,71028852,51.30871166714242,-116.01815839755173,45,113253757.4525161,45,5134.0,51.3653,-116.0029,100233806.51057553,5134,35143869.10800733,0.3103108444127525,0.35061892121496296,0.3103108444127526,0.3506189212149688
211,71028852,113.253720010744,71028852,51.30871166714242,-116.01815839755173,45,113253757.4525161,45,4979.0,51.2807,-115.9538,100222852.81219693,4979,45498408.41441785,0.4017386216390566,0.4539723938977796,0.4017386216390567,0.4539723938977914
212,71028852,113.253720010744,71028852,51.30871166714242,-116.01815839755173,45,113253757.4525161,45,5133.0,51.3346,-116.1379,100230637.07975459,5133,15922208.103682665,0.14058878452980572,0.15885570088727655,0.14058878452980578,0.16561045452713066
210,71028852,113.253720010744,71028852,51.30871166714242,-116.01815839755173,45,113253757.4525161,45,4978.0,51.25,-116.0886,100220123.76089515,4978,16689271.826408219,0.1473617494183849,0.16652615462963735,0.14736174941838495,0.3148304679887407
209,71028904,28.68860144294877,71028904,51.35101469668545,-116.10112398373984,44,28688600.468099948,44,5289.0,51.4499,-116.0522,100244102.9192052,5289,239488.94570977052,0.00834787831410836,0.0023890576975165705,0.008347878314108364,0.0024030262707042203
206,71028904,28.68860144294877,71028904,51.35101469668545,-116.10112398373984,44,28688600.468099948,44,5133.0,51.3346,-116.1379,100230637.07975459,5133,23399850.05715091,0.8156497589755269,0.23346005511799153,0.8156497589755273,0.24338708416549049
207,71028904,28.68860144294877,71028904,51.35101469668545,-116.10112398373984,44,28688600.468099948,44,5134.0,51.3653,-116.0029,100233806.51057553,5134,5049261.465239253,0.17600236271036426,0.05037483500845109,0.17600236271036435,0.050374835008451926
