,           YEAR,           JDAY,        PRECACC,          ETACC,         ROFACC,      OVRFLWACC,      LATFLWACC,    DRAINSOLACC,       DSTGWACC,           PREC,             ET,            ROF,         OVRFLW,         LATFLW,       DRAINSOL,        FZWSCAN,        LQWSCAN,            SNO,        LQWSSNO,        LQWSPND,       LQWSSOL1,       FZWSSOL1,       ALWSSOL1,       LQWSSOL2,       FZWSSOL2,       ALWSSOL2,       LQWSSOL3,       FZWSSOL3,       ALWSSOL3,       LQWSSOL4,       FZWSSOL4,       ALWSSOL4,        LQWSSOL,        FZWSSOL,        ALWSSOL,          STGGW,            DZS,           STGW,          DSTGW
19,0,0,67.25999999999999,1.2399999999999984,64.91999999999996,3.08,61.860000000000014,0,7.18,0.0,0.14,0.08999999999999986,0.0,0.08999999999999986,0,0.0,0.0,0.54,0.0,0.0,0.05000000000000071,1.31,1.259999999999998,0.8599999999999994,0.07,0.7999999999999972,3.039999999999992,0.0,3.039999999999992,33.20000000000002,0,33.20000000000002,35.32000000000005,1.38,36.69999999999999,9.849999999999994,0,27.399999999999977,0.33000000000000007
20,0,0,67.25999999999999,1.25,64.94999999999999,3.08,61.870000000000005,0,7.169999999999995,0.0,0.010000000000000009,0.020000000000000018,0.0,0.020000000000000018,0,0.0,0.0,0.49,0.0,0.0,0.8599999999999994,1.96,1.1000000000000014,0.6799999999999997,0.07,0.6099999999999994,3.490000000000009,0.0,3.490000000000009,33.03999999999999,0,33.03999999999999,34.99000000000001,2.03,37.01999999999998,10.25,0,27.269999999999982,0.11999999999999988
21,0,0,67.25999999999999,1.3999999999999986,65.5,3.08,62.43000000000001,0,7.170000000000002,0.01,0.14,0.56,0.0,0.56,0,0.0,0.0,0.45,0.0,0.0,0.7200000000000024,1.28,0.5599999999999987,0.4099999999999966,0.07,0.3399999999999963,3.740000000000009,0.0,3.740000000000009,33.170000000000016,0,33.170000000000016,35.78000000000003,1.3499999999999999,37.139999999999986,10.630000000000003,0,26.950000000000045,0.32000000000000006
22,0,0,67.27000000000004,1.4800000000000004,65.51999999999998,3.08,62.44,0,7.190000000000005,0.02,0.08000000000000002,0.01999999999999999,0.0,0.01999999999999999,0,0.0,0.0,0.41,0.0,0.0,0.740000000000002,0.7699999999999999,0.05000000000000071,0.020000000000003126,0.01,0.010000000000005116,4.0,0.0,4.0,33.19999999999999,0,33.19999999999999,36.45999999999992,0.7799999999999999,37.25,10.979999999999997,0,26.68999999999994,0.28
23,0,0,67.43,1.8299999999999983,65.5,3.08,62.42999999999995,0,7.210000000000001,0.15,0.36,0.020000000000000018,0.0,0.020000000000000018,0,0.01,0.0,0.39,0.0,0.0,0.46999999999999886,0.47000000000000003,0.0,0.1600000000000037,0.0,0.1600000000000037,4.22999999999999,0.0,4.22999999999999,33.319999999999965,0,33.319999999999965,37.25,0.47000000000000003,37.710000000000036,11.310000000000002,0,26.800000000000068,0.12
24,0,0,67.38999999999999,1.9800000000000004,65.5,3.08,62.42999999999995,0,7.200000000000003,0.04000000000000001,0.16000000000000003,0.0,0.0,0.0,0,0.04,0.01,0.39,0.0,0.0,4.509999999999998,5.46,0.9400000000000013,0.4399999999999977,0.0,0.4399999999999977,4.409999999999997,0.0,4.409999999999997,33.43000000000001,0,33.43000000000001,32.889999999999986,5.46,38.35000000000002,11.61,0,27.159999999999968,0.36
25,0,0,67.31,2.509999999999998,65.5,3.08,62.42999999999995,0,7.190000000000005,0.08,0.53,0.0,0.0,0.0,0,0.019999999999999997,0.01,0.39,0.0,0.0,12.52,15.82,3.2900000000000027,2.75,0.06,2.6799999999999997,4.3799999999999955,0.0,4.3799999999999955,33.77999999999997,0,33.77999999999997,22.889999999999986,15.879999999999999,38.76999999999998,11.879999999999995,0,27.25,0.08999999999999997
26,0,0,67.31,3.1099999999999994,65.5,3.08,62.42999999999995,0,7.170000000000002,0.0,0.6,0.0,0.0,0.0,0,0.01,0.0,0.39,0.0,0.0,5.880000000000001,7.629999999999999,1.759999999999998,4.019999999999996,3.46,0.5800000000000054,4.469999999999999,0.0,4.469999999999999,33.900000000000006,0,33.900000000000006,28.47999999999996,11.09,39.559999999999945,12.120000000000005,0,27.829999999999927,0.5900000000000001
27,0,0,67.31,3.469999999999999,65.5,3.08,62.42999999999995,0,7.119999999999997,0.0,0.35,0.0,0.0,0.0,0,0.0,0.0,0.39,0.0,0.0,1.3899999999999997,0.9199999999999982,0.46000000000000085,5.689999999999998,8.33,2.6400000000000006,4.280000000000001,0.0,4.280000000000001,33.73000000000002,0,33.73000000000002,30.939999999999998,9.249999999999996,40.19,12.349999999999994,0,28.230000000000018,0.4
28,0,0,67.31,3.7099999999999973,65.5,3.08,62.42999999999995,0,7.080000000000005,0.0,0.25,0.0,0.0,0.0,0,0.0,0.0,0.39,0.0,0.0,0.5899999999999999,0.4799999999999969,1.0600000000000023,6.970000000000006,11.02,4.060000000000002,3.9399999999999977,0.0,3.9399999999999977,33.70999999999998,0,33.70999999999998,30.100000000000023,10.54,40.650000000000034,12.560000000000002,0,28.470000000000027,0.24000000000000002
29,0,0,85.86000000000001,3.8900000000000006,73.38,3.7,69.69,0,6.839999999999996,18.55,0.16999999999999993,7.87,0.63,7.25,0,0.03,0.22000000000000003,0.44,0.0,1.08,1.58,1.0500000000000007,2.6499999999999986,8.600000000000001,13.64,5.039999999999999,3.990000000000009,0.0,3.990000000000009,33.879999999999995,0,33.879999999999995,30.849999999999966,14.690000000000005,45.549999999999955,12.749999999999993,0,34.569999999999936,6.09
30,0,0,125.60000000000002,4.049999999999997,109.5,4.94,104.57999999999998,0,6.420000000000002,39.74,0.15999999999999992,36.129999999999995,1.23,34.89,0,0.0,0.13,0.4,0.01,1.88,2.629999999999999,2.030000000000001,0.6000000000000014,6.539999999999999,16.86,10.319999999999993,6.109999999999985,0.0,6.109999999999985,33.91999999999999,0,33.91999999999999,36.120000000000005,14.830000000000002,50.950000000000045,12.920000000000002,0,40.44999999999993,5.8999999999999995
31,0,0,134.02999999999997,3.969999999999999,120.74000000000001,6.11,114.63999999999999,0,5.960000000000001,8.43,0.06999999999999984,11.239999999999998,1.17,10.07,0,0.0,0.06,0.34,0.01,0.29,0.9600000000000009,2.23,1.2699999999999996,5.689999999999998,15.430000000000001,9.750000000000007,11.819999999999993,0.0,11.819999999999993,34.400000000000034,0,34.400000000000034,41.490000000000066,13.2,54.69,13.080000000000005,0,42.32000000000005,1.87
32,0,0,132.95,3.870000000000001,117.32999999999998,6.21,111.13,0,5.550000000000004,1.0899999999999999,0.10999999999999999,3.41,0.1,3.51,0,0.0,0.14,0.29,0.01,0.1,0.4499999999999993,0.03,0.41999999999999815,4.32,11.33,7.010000000000005,12.320000000000022,0.0,12.320000000000022,35.29999999999998,0,35.29999999999998,42.85000000000002,11.360000000000001,54.20999999999998,13.18,0,41.57000000000005,0.75
33,0,0,132.97000000000003,3.740000000000002,117.53000000000003,6.22,111.31,0,5.170000000000002,0.03,0.13,0.2,0.01,0.19,0,0.02,0.12,0.27,0.01,0.09,0.0799999999999983,0.06,0.14000000000000057,0.10000000000000142,6.07,6.180000000000007,12.129999999999995,0.0,12.129999999999995,36.170000000000016,0,36.170000000000016,48.49000000000001,6.130000000000001,54.62000000000006,13.159999999999997,0,41.95999999999992,0.39
34,0,0,140.33999999999997,4.369999999999997,125.52000000000004,6.97,118.54999999999995,0,4.780000000000001,7.360000000000001,0.6300000000000001,7.99,0.74,7.24,0,0.0,0.10000000000000003,0.24,0.01,0.09,0.7600000000000016,0.0,0.7600000000000016,1.8699999999999974,3.93,5.800000000000004,11.780000000000001,0.0,11.780000000000001,36.78,0,36.78,51.19999999999999,3.93,55.12999999999994,13.020000000000003,0,42.549999999999955,0.58
35,0,0,152.39999999999998,4.209999999999997,136.81,7.51,129.3,0,4.420000000000002,12.07,0.1499999999999999,11.3,0.55,10.75,0,0.01,0.19999999999999998,0.2,0.01,0.1,0.9499999999999993,0.0,0.9499999999999993,3.6799999999999997,1.13,4.810000000000002,11.949999999999989,0.02,11.969999999999999,37.309999999999974,0,37.309999999999974,53.889999999999986,1.15,55.02999999999997,12.809999999999995,0,42.74000000000001,0.18999999999999995
36,0,0,152.37,4.399999999999999,137.24,7.5200000000000005,129.72000000000003,0,4.100000000000001,0.03,0.18999999999999995,0.43,0.01,0.41000000000000003,0,0.05,0.05,0.23,0.01,0.06,0.08999999999999986,0.26,0.3500000000000014,4.100000000000001,0.17,4.260000000000005,11.340000000000003,0.03,11.370000000000005,37.849999999999994,0,37.849999999999994,53.370000000000005,0.47,53.84000000000003,12.5,0,41.74000000000001,1.0099999999999998
