           YEAR,           JDAY,           FSIN,          FSOUT,           ALBT,           FLIN,          FLOUT,            GTE,          QSENS,           QEVP,          GZERO,             TA,           TCAN,           CMAS,           TSNO,           TPND,          TSOL1,          TSOL2,          TSOL3,             QA,             UV,           PRES,
           1980,            292,   118.5557    ,   91.83904    ,  0.2265416    ,   243.0491    ,   306.0399    ,  -2.455536    ,   23.52139    ,   11.78304    ,  -6.805590    ,   1.907043    ,  -2.494751    ,   8.617024    ,  -3.344177    ,  0.5004883E-02, -0.5493164    ,  0.1997681    ,   2.235657    ,  0.4398875E-02,  0.8998761    ,   78779.37    ,
           1980,            293,   102.8610    ,   79.09418    ,  0.2278761    ,   263.8728    ,   309.2357    ,  -1.597778    ,   21.37015    ,   11.75169    ,  -2.326460    ,  0.6180115    ,  -1.753143    ,   8.642264    ,  -2.644958    ,  0.6103516E-04, -0.5444946    ,  0.1770935    ,   2.214233    ,  0.4006890E-02,   1.028794    ,   78977.16    ,
           1980,            294,   99.20865    ,   75.02000    ,  0.2347720    ,   263.6382    ,   307.5524    ,  -1.947266    ,   21.54518    ,   10.51876    ,  -3.577184    , -0.5493164E-02,  -2.061340    ,   8.628800    ,  -2.142365    , -0.6103516E-04, -0.2655029    ,  0.1121216    ,   2.192108    ,  0.4212935E-02,   1.659171    ,   78510.35    ,
           1980,            295,   52.23595    ,   33.12528    ,  0.3522125    ,   261.6787    ,   287.0282    ,  -6.518799    ,   8.409577    ,   9.328856    ,  -7.566807    ,  -4.547424    ,  -6.207520    ,   8.675872    ,  -4.013184    ,   0.000000    ,  -1.147400    ,  0.3988037    ,   2.169800    ,  0.2800071E-02,   1.275435    ,   78402.23    ,
           1980,            296,   68.76753    ,   43.66714    ,  0.3529842    ,   240.7801    ,   273.5074    ,  -9.822540    ,   14.79771    ,   7.879829    ,  -10.14294    ,  -7.244812    ,  -9.209961    ,   8.733768    ,  -6.058044    ,   0.000000    ,  -2.039764    ,  0.3971558    ,   2.152344    ,  0.2248756E-02,  0.6453561    ,   78972.38    ,
           1980,            297,   118.3059    ,   77.91729    ,  0.3298821    ,   184.0452    ,   247.8209    ,  -16.56512    ,   15.03609    ,   13.15135    ,  -16.98176    ,  -7.041260    ,  -15.06097    ,   8.735804    ,  -10.87903    ,   0.000000    ,  -4.176239    ,  0.1816406    ,   2.135498    ,  0.2076476E-02,  0.8867223    ,   79056.51    ,
           1980,            298,   98.33487    ,   66.23421    ,  0.3145583    ,   224.7706    ,   271.4488    ,  -10.43829    ,   13.78878    ,   9.031428    ,  -9.833606    ,  -4.743958    ,  -9.393494    ,   8.691227    ,  -7.988342    ,   0.000000    ,  -3.261322    , -0.1103821    ,   2.117279    ,  0.2292321E-02,  0.7331398    ,   78725.05    ,
           1980,            299,   60.24274    ,   40.43771    ,  0.3195308    ,   268.1637    ,   292.6278    ,  -5.279999    ,   9.579519    ,   8.506383    ,  -4.132188    ,  -3.686523    ,  -4.986938    ,   8.637262    ,  -4.141907    ,   0.000000    ,  -1.810577    , -0.2024841    ,   2.095215    ,  0.2988037E-02,  0.6733188    ,   77845.14    ,
           1980,            300,   55.27483    ,   32.66533    ,  0.3955026    ,   279.2194    ,   296.6934    ,  -4.226288    ,   6.744987    ,   12.43339    ,  -3.043455    ,  -4.236298    ,  -3.773926    ,   8.635165    ,  -2.219055    ,   0.000000    , -0.8542480    , -0.1975098    ,   2.070618    ,  0.3185963E-02,  0.6592808    ,   77858.80    ,
           1980,            301,   76.00993    ,   46.46176    ,  0.3749803    ,   249.3074    ,   279.2278    ,  -8.342224    ,   14.76799    ,   8.480322    ,  -6.477922    ,  -7.214203    ,  -7.487640    ,   8.721454    ,  -4.585571    ,   0.000000    ,  -1.779724    , -0.1682739    ,   2.046448    ,  0.2428141E-02,  0.5924479    ,   78882.68    ,
           1980,            302,   100.5270    ,   63.67910    ,  0.3549827    ,   234.3857    ,   276.5005    ,  -9.177917    ,   14.86944    ,   7.796570    ,  -6.910150    ,  -5.640533    ,  -7.767578    ,   8.725322    ,  -5.468964    ,  0.2933655    ,  -2.190979    , -0.1902161    ,   2.024170    ,  0.2854419E-02,  0.7599826    ,   79413.41    ,
           1980,            303,   96.16604    ,   61.47099    ,  0.3480347    ,   220.2761    ,   274.5277    ,  -9.648254    ,   12.07873    ,   7.736128    ,  -8.794971    ,  -2.566925    ,  -7.675598    ,   8.661382    ,  -5.362823    ,   0.000000    ,  -2.039154    , -0.2144470    ,   2.001587    ,  0.3094185E-02,   3.156942    ,   78863.48    ,
           1980,            304,   87.68015    ,   55.85925    ,  0.3520065    ,   242.8227    ,   278.4138    ,  -8.631775    ,   20.98268    ,   1.803357    ,  -7.124939    ,  -6.125793    ,  -7.241791    ,   8.704322    ,  -6.070160    ,   0.000000    ,  -2.499268    , -0.3007202    ,   1.979614    ,  0.2742461E-02,  0.5441384    ,   78751.37    ,
           1980,            305,   80.26053    ,   51.19484    ,  0.3489615    ,   250.2080    ,   285.8382    ,  -6.880585    ,   18.95880    ,  0.8845995    ,  -5.751337    ,  -3.502716    ,  -5.565308    ,   8.652392    ,  -4.747162    ,  0.1223755E-01,  -2.035919    , -0.3949280    ,   1.956482    ,  0.3493673E-02,  0.7619097    ,   78381.34    ,
           1980,            306,   81.95377    ,   52.95729    ,  0.3407299    ,   260.8837    ,   294.8149    ,  -4.740540    ,   19.06891    ,   1.775230    ,  -3.282434    ,  -3.831299    ,  -3.470734    ,   8.636656    ,  -3.391113    ,  0.5957031E-01,  -1.533936    , -0.4132690    ,   1.932434    ,  0.3514103E-02,  0.7345763    ,   77903.10    ,
           1980,            307,   64.09733    ,   40.55567    ,  0.3542668    ,   253.4349    ,   288.4219    ,  -6.205322    ,   11.64437    ,   2.752023    ,  -6.398176    ,  -2.767426    ,  -4.906555    ,   8.630818    ,  -3.482483    ,  0.6311035E-01,  -1.467804    , -0.3954468    ,   1.907532    ,  0.3275689E-02,   2.733504    ,   78073.27    ,
           1980,            308,   55.80214    ,   35.34053    ,  0.3532777    ,   260.6670    ,   282.7716    ,  -7.509338    ,   16.51987    ,   1.194675    ,  -6.832958    ,  -6.795074    ,  -7.137604    ,   8.719493    ,  -5.123108    ,   0.000000    ,  -2.296753    , -0.4290161    ,   1.884155    ,  0.2597773E-02,  0.6588480    ,   78872.09    ,
           1980,            309,   67.72074    ,   43.57434    ,  0.3433548    ,   272.1063    ,   296.3906    ,  -4.358795    ,   18.00773    ,   1.643907    ,  -2.761566    ,  -4.382446    ,  -3.620758    ,   8.691331    ,  -3.225250    ,  0.2999878E-01,  -1.598938    , -0.5000305    ,   1.861328    ,  0.3358954E-02,  0.7159851    ,   78969.20    ,
           1980,            310,   81.47120    ,   51.66468    ,  0.3519996    ,   253.3783    ,   292.1674    ,  -5.335388    ,   14.89069    ,   3.742594    ,  -4.760804    ,  -1.723541    ,  -3.748505    ,   8.630642    ,  -3.183319    ,  0.4104614E-01,  -1.273621    , -0.4766846    ,   1.837219    ,  0.3804297E-02,   1.078231    ,   78364.73    ,
