p[[1]],majority,minority,frac_1,frac_2,frac_5,frac_6,frac_8,frac_10,frac_11,frac_12,frac_14,frac_16,frac_17,frac_18,frac_19
71030270,1,5,0.464708149433136,0.0233806576579809,0.000250600132858381,0.00221960130147636,0.0515447966754436,0.117622695863247,0,0.0011456006905064,0.00608600350096822,0.325099796056747,0,0.00186160102020949,0.00608048960566521
71030287,1,11,0.683041453361511,0.0307378377765417,0.00248573650605977,0.00384328025393188,0.0193226430565119,0.0773381739854813,0.000140265707159415,0.000224425122723915,0,0.17772801220417,0.000916404998861253,0.000570432574022561,0.00365123199298978
71030302,1,5,0.662953078746796,0.0169763285666704,0.000263239111518487,0.00131619547028095,0.0406272746622562,0.0752201080322266,0.0013688433682546,0.000315886922180653,0.00126947241369635,0.195568963885307,0,0.000263239111518487,0.00385733204893768
71030418,16,11,0.392776757478714,0.0698563754558563,0.000724946090485901,0.0039872033521533,0.0357398428022861,0.0527156628668308,0.000289978430373594,0.00134863203857094,0.00427718181163073,0.428283303976059,0,0.00439800648018718,0.00560210738331079
71030527,1,12,0.471605062484741,0.0439604409039021,0.00102396542206407,0.00193415686953813,0.0268790926784277,0.0294511616230011,0,0.000285312125924975,0.000967078434769064,0.414934009313583,0,0.0052620442584157,0.00369765283539891
71030563,1,11,0.389847218990326,0.0578012764453888,0.000396459014154971,0.00443538511171937,0.0483821630477905,0.144208028912544,0.000346901622833684,0.0155502492561936,0.0171853769570589,0.319542557001114,0,0.00230441801249981,0
71030690,1,11,0.475869178771973,0.0364723205566406,0.00125513563398272,0.00206123082898557,0.0631844699382782,0.18998995423317,0.000177356123458594,0.00213298574090004,0.007596789393574,0.215741157531738,0.00345914461649954,0.00169170449953526,0.000368536420864984
71030774,1,14,0.782679378986359,0.00479527004063129,0.00199950090609491,0.00459825433790684,0.0100086843594909,0.0240284334868193,0,0,0.000404962222091854,0.169590309262276,0,0.00133834534790367,0.000556823040824383
71030784,1,11,0.662508070468903,0.0156782064586878,0.00537663791328669,0.00712658185511827,0.0532909333705902,0.0644482374191284,0.000477329856948927,0,0.00256151147186756,0.132141336798668,0,0.0257165618240833,0.0306746196001768
71030838,1,12,0.440754026174545,0.0145781422033906,0,0.000443857832578942,0.0216657314449549,0.0517272129654884,0,0.000207765246159397,0.00131381920073181,0.296881139278412,0,0.016049899160862,0.156378403306007
71030896,1,18,0.468059092760086,0.041644923388958,0.00123988348059356,0.00301593285985291,0.0839548707008362,0.137415587902069,0.0011606301413849,0.000964145117904991,0.0097154164686799,0.24846775829792,0,0.000469145103124902,0.00389261986128986
71031094,1,14,0.480358451604843,0.0310163982212543,0.00173198466654867,0.0282355770468712,0.0324343852698803,0.0608371905982494,0,0,0.000937783450353891,0.36263108253479,0,0,0.00181716424413025
71031120,1,12,0.678471148014069,0.0204647127538919,0,0.00103488855529577,0.0188036672770977,0.0421108938753605,0,0.000107964813651051,0.000451558036729693,0.164096519351006,0.00423007365316153,0.0203092414885759,0.0499193109571934
71031296,1,12,0.442471563816071,0.0248632114380598,0.001350027625449,0.00639334553852677,0.031591922044754,0.0732201635837555,0,0.000414651352912188,0.00126324023585767,0.414545685052872,0,0.00239147758111358,0.00149467354640365
71031359,16,11,0.335835963487625,0.0342541709542274,0.00090029533021152,0.00183163536712527,0.0299979876726866,0.0428739599883556,0.000186267992830835,0.00103999627754092,0.00245469668880105,0.394660323858261,0.00410907668992877,0.016065614297986,0.135790005326271
